Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
142,Rondae Hollis-Jefferson,24,BRK,SF,4,0,62,29.2,.602,.030,.758,4.6,16.2,9.9,17.9,0.7,5.8,6.4,30.9,0.3,0.0,0.3,.223,4.2,2.6,6.8,0.1,,holliro01
143,Wes Iwundu,24,ORL,SF,5,0,60,12.9,.546,.500,.500,0.0,13.7,6.4,11.7,2.5,0.0,8.3,17.7,0.1,0.0,0.1,.087,-0.1,2.6,2.6,0.1,,iwundwe01
144,Nerlens Noel,24,OKC,C,5,0,60,16.6,.575,.000,.100,19.6,14.7,17.2,0.0,1.6,4.2,16.1,17.7,0.1,0.0,0.1,.085,-2.3,-0.4,-2.7,0.0,,noelne01
145,Markieff Morris,29,OKC,PF,5,0,59,11.3,.476,.438,.563,7.2,16.8,11.9,12.1,0.8,4.3,9.1,15.9,0.1,0.0,0.1,.074,-2.5,2.1,-0.4,0.0,,morrima02
146,Blake Griffin,29,DET,PF,2,2,58,25.4,.582,.333,.179,6.1,16.1,10.4,43.9,1.6,0.0,12.5,34.9,0.1,0.0,0.1,.091,9.5,0.4,10.0,0.2,,griffbl01
147,Raymond Felton,34,OKC,PG,5,0,57,4.1,.396,.615,.154,0.0,5.8,2.9,7.3,3.4,1.5,12.6,11.9,-0.1,0.0,0.0,-0.030,-6.3,2.5,-3.8,0.0,,feltora01
148,Bruce Brown,22,DET,SG,4,2,57,4.6,.437,.357,.143,1.6,14.3,7.1,5.1,1.7,1.6,11.8,12.5,-0.1,0.0,-0.1,-0.075,-6.2,-0.3,-6.4,-0.1,,brownbr01
149,Kenneth Faried,29,HOU,C,6,0,56,22.8,.767,.077,.462,6.2,35.1,21.1,5.9,1.8,0.0,0.0,12.4,0.3,0.1,0.4,.302,4.2,2.0,6.3,0.1,,farieke01
150,Georges Niang,25,UTA,PF,5,0,55,11.2,.500,.591,.000,0.0,27.8,13.4,16.3,0.9,2.1,8.3,18.7,0.0,0.0,0.0,.041,-0.9,2.1,1.2,0.0,,niangge01
151,Nenê,36,HOU,C,7,0,53,30.9,.967,.000,.900,19.8,10.3,14.9,9.8,2.8,3.5,17.7,14.2,0.4,0.1,0.4,.377,7.0,4.0,11.0,0.2,,hilarne01
152,Jonathon Simmons,29,PHI,SF,7,0,52,2.7,.394,.333,.133,4.4,13.9,9.4,6.1,0.9,0.0,15.9,30.9,-0.2,0.0,-0.2,-0.174,-7.1,-5.2,-12.3,-0.1,,simmojo02
153,Wilson Chandler,31,LAC,SF,4,0,52,2.6,.422,.625,.250,0.0,13.7,6.4,5.2,1.8,0.0,14.5,16.6,-0.1,0.0,-0.1,-0.127,-7.0,-1.4,-8.4,-0.1,,chandwi01
