Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
12,Fred VanVleet,24,TOR,PG,24,0,592,10.4,.534,.590,.187,1.3,6.2,3.7,15.7,1.5,1.0,10.5,15.4,0.5,0.5,1.0,.082,-0.7,0.8,0.1,0.3,,vanvlfr01
13,Nikola Jokić,23,DEN,C,14,14,557,29.5,.596,.215,.299,10.0,24.5,17.2,37.1,1.5,1.8,10.9,26.6,2.6,0.5,3.1,.268,8.3,3.3,11.6,1.9,,jokicni01
14,Gary Harris,24,DEN,SG,14,14,517,13.5,.569,.361,.241,1.8,10.1,5.9,9.3,1.2,1.2,5.9,16.1,0.9,0.1,1.0,.096,-1.1,0.8,-0.3,0.2,,harriga01
15,Khris Middleton,27,MIL,SF,15,15,515,14.8,.567,.458,.259,1.8,16.1,9.3,19.6,0.8,0.0,11.5,21.1,0.9,0.6,1.5,.137,0.7,0.6,1.3,0.5,,middlkh01
16,Giannis Antetokounmpo,24,MIL,PF,15,15,514,26.6,.572,.211,.644,7.3,27.7,17.9,25.1,1.7,5.3,13.0,32.2,1.2,1.2,2.4,.226,5.0,3.4,8.3,1.4,,antetgi01
17,Jamal Murray,21,DEN,PG,14,14,508,19.5,.534,.329,.246,3.9,8.8,6.3,21.8,1.4,0.3,7.3,26.5,1.2,0.0,1.3,.120,3.2,-0.4,2.8,0.6,,murraja01
18,Serge Ibaka,29,TOR,C,24,0,500,15.0,.532,.197,.218,7.7,23.9,15.8,7.4,1.1,4.5,10.6,21.5,0.4,0.8,1.2,.114,-1.6,1.2,-0.4,0.2,,ibakase01
19,Paul Millsap,33,DEN,PF,14,14,469,15.0,.561,.244,.391,5.3,15.9,10.5,3.6,1.3,2.5,9.0,19.2,0.7,0.3,0.9,.097,-1.4,-0.1,-1.5,0.0,,millspa01
20,Enes Freedom,26,POR,C,16,14,461,16.9,.555,.027,.281,11.9,23.5,17.7,6.5,1.2,1.6,13.7,17.9,0.7,0.3,1.0,.106,1.0,-1.3,-0.3,0.2,,kanteen01
21,Tobias Harris,26,PHI,PF,12,12,443,14.5,.521,.377,.156,3.1,22.8,13.5,16.4,1.4,1.2,10.1,19.0,0.5,0.5,1.0,.111,1.2,1.3,2.5,0.5,,harrito02
22,Kevin Durant,30,GSW,SF,12,12,442,27.0,.661,.329,.465,0.3,14.7,7.7,21.6,1.5,2.6,12.8,33.0,1.8,0.2,1.9,.208,6.8,0.8,7.6,1.1,,duranke01
23,Brook Lopez,30,MIL,C,15,15,438,13.9,.572,.560,.216,2.9,15.5,9.4,7.1,0.7,5.8,6.4,15.4,0.6,0.7,1.4,.149,0.0,2.4,2.4,0.5,,lopezbr01
24,Kevon Looney,22,GSW,C,21,1,432,16.5,.704,.000,.312,11.2,13.7,12.5,6.6,1.4,2.5,10.9,12.0,1.3,0.1,1.4,.156,0.2,0.5,0.7,0.3,,looneke01
25,P.J. Tucker,33,HOU,PF,11,11,426,14.2,.637,.648,.261,5.2,16.2,10.8,6.6,2.2,1.7,7.5,11.1,1.0,0.5,1.4,.161,1.8,2.7,4.5,0.7,,tuckepj01
26,James Harden,29,HOU,PG,11,11,424,25.4,.567,.519,.371,2.5,17.0,10.0,33.7,2.8,2.2,14.2,37.5,1.2,0.5,1.7,.195,6.4,1.7,8.1,1.1,,hardeja01
27,Eric Bledsoe,29,MIL,PG,15,15,423,14.3,.494,.389,.276,4.9,8.2,6.6,23.7,1.8,1.3,13.4,24.4,0.2,0.6,0.7,.083,-0.2,0.0,-0.2,0.2,,bledser01
28,Jimmy Butler,29,PHI,SF,12,12,421,21.3,.564,.257,.411,6.0,12.2,9.3,23.2,2.1,1.5,9.6,23.1,1.3,0.4,1.7,.196,4.4,1.8,6.2,0.9,,butleji01
29,Ben Simmons,22,PHI,PG,12,12,421,17.9,.625,.000,.345,6.2,14.9,10.8,26.3,1.7,2.6,19.3,16.7,0.9,0.5,1.4,.157,1.6,2.0,3.7,0.6,,simmobe01
30,Eric Gordon,30,HOU,SG,11,11,410,12.8,.604,.633,.187,1.4,6.1,3.8,5.7,0.9,2.5,14.3,20.5,0.4,0.2,0.6,.068,1.3,-0.8,0.5,0.3,,gordoer01
31,Al-Farouq Aminu,28,POR,PF,16,16,399,10.9,.473,.468,.330,7.7,18.9,13.3,7.5,1.1,2.1,11.4,15.4,0.2,0.2,0.4,.047,-0.8,-0.1,-0.9,0.1,,aminual01
32,Chris Paul,33,HOU,PG,11,11,397,17.6,.557,.426,.304,4.1,15.4,9.9,25.1,3.0,1.6,18.1,22.9,0.6,0.5,1.1,.131,0.7,1.7,2.5,0.4,,paulch01
33,George Hill,32,MIL,PG,15,0,395,18.2,.653,.407,.280,4.0,9.3,6.7,16.2,1.5,0.9,4.3,15.1,1.4,0.5,1.9,.227,2.0,3.1,5.2,0.7,,hillge01
34,Maurice Harkless,25,POR,SF,16,16,388,14.3,.537,.257,.330,7.9,13.4,10.7,9.0,2.3,3.4,12.0,15.9,0.5,0.3,0.8,.095,-0.6,2.2,1.6,0.3,,harklma01
35,JJ Redick,34,PHI,SG,12,12,376,8.9,.606,.702,.161,0.6,4.4,2.6,7.5,0.1,0.7,14.2,17.5,0.3,0.1,0.4,.053,-0.1,-2.0,-2.1,0.0,,redicjj01
36,Rodney Hood,26,POR,SG,16,0,373,14.0,.606,.459,.396,2.6,7.7,5.1,5.7,0.8,0.7,5.1,16.0,0.9,0.0,0.9,.113,0.5,0.2,0.8,0.2,,hoodro01
37,Norman Powell,25,TOR,SG,23,0,366,12.2,.558,.492,.151,1.5,13.9,7.7,11.4,1.2,0.0,8.2,18.2,0.4,0.4,0.7,.095,-0.4,0.8,0.4,0.2,,powelno01
38,Joel Embiid,24,PHI,C,11,11,334,21.8,.559,.245,.566,7.2,29.0,18.7,17.9,1.2,6.7,16.8,30.4,0.4,0.6,1.0,.150,2.5,2.6,5.1,0.6,,embiijo01
39,Clint Capela,24,HOU,C,11,11,331,15.7,.549,.000,.427,14.4,23.8,19.2,7.7,0.5,3.4,14.1,15.2,0.5,0.3,0.9,.126,0.3,-1.0,-0.6,0.1,,capelca01
40,Torrey Craig,28,DEN,SF,14,11,330,12.1,.605,.522,.232,6.6,16.5,11.5,5.1,1.1,1.2,7.3,11.1,0.6,0.1,0.7,.108,-0.9,0.9,0.0,0.2,,craigto01
41,Kyrie Irving,26,BOS,PG,9,9,330,15.7,.488,.324,.223,1.6,10.1,6.0,35.8,1.9,1.1,12.5,30.1,0.0,0.5,0.4,.060,2.1,0.3,2.5,0.4,,irvinky01
42,Will Barton,28,DEN,SF,14,3,328,10.3,.434,.407,.193,4.7,16.9,10.7,11.0,0.6,2.2,8.7,21.9,-0.2,0.1,-0.1,-0.010,-1.9,-1.2,-3.1,-0.1,,bartowi01
43,Seth Curry,28,POR,SG,16,0,326,8.3,.518,.634,.134,1.6,6.5,4.1,5.7,1.8,1.0,7.5,12.5,0.2,0.1,0.3,.037,-1.6,0.2,-1.4,0.1,,curryse01
44,Pat Connaughton,26,MIL,SG,15,0,324,13.5,.577,.545,.104,3.2,24.8,14.4,9.2,0.9,3.6,10.1,11.9,0.3,0.6,0.9,.138,0.3,2.7,3.0,0.4,,connapa01
45,Shaun Livingston,33,GSW,PG,22,2,322,10.0,.517,.027,.333,4.0,6.9,5.5,13.0,1.5,1.2,8.5,12.7,0.4,0.0,0.4,.066,-2.8,0.6,-2.2,0.0,,livinsh01
46,Al Horford,32,BOS,C,9,9,310,14.2,.530,.400,.164,4.5,21.4,13.3,21.7,0.6,2.1,13.9,19.5,0.2,0.5,0.7,.101,1.5,1.3,2.8,0.4,,horfoal01
47,Nikola Mirotić,27,MIL,PF,14,8,298,12.0,.514,.650,.239,5.9,14.0,10.1,5.0,1.6,0.9,9.8,20.7,0.1,0.4,0.5,.086,-0.8,-0.1,-0.9,0.1,,mirotni01
48,Jayson Tatum,20,BOS,SF,9,9,295,13.5,.530,.277,.348,2.5,17.6,10.4,10.0,1.6,2.2,12.2,22.0,0.0,0.5,0.5,.075,-0.5,1.6,1.0,0.2,,tatumja01
49,Malik Beasley,22,DEN,SG,14,0,281,12.1,.530,.505,.333,4.0,14.1,9.0,7.3,0.6,0.3,6.2,18.1,0.4,0.0,0.4,.071,-0.8,-1.1,-1.9,0.0,,beaslma01
50,Zach Collins,21,POR,C,16,0,275,14.3,.592,.259,.309,6.5,15.8,11.2,7.9,1.3,6.4,17.9,17.7,0.3,0.2,0.5,.088,-2.0,2.7,0.7,0.2,,colliza01
51,Jaylen Brown,22,BOS,SG,9,9,274,12.9,.624,.460,.345,2.3,16.4,9.7,6.3,1.1,0.7,13.8,18.7,0.3,0.4,0.6,.112,-0.5,1.2,0.7,0.2,,brownja02
52,Ersan İlyasova,31,MIL,PF,15,0,272,15.1,.554,.494,.309,7.7,18.1,13.1,11.2,1.8,2.0,7.1,15.7,0.6,0.5,1.0,.182,0.0,2.8,2.8,0.3,,ilyaser01
53,Gordon Hayward,28,BOS,PF,9,0,267,9.9,.549,.343,.271,1.2,12.1,6.9,13.0,1.1,1.1,15.2,15.3,0.1,0.3,0.4,.072,-1.4,0.6,-0.8,0.1,,haywago01
54,Marcus Morris,29,BOS,PF,9,4,254,18.1,.664,.506,.392,5.1,23.5,14.7,7.4,0.2,1.8,7.0,17.3,0.7,0.4,1.1,.203,3.4,1.6,5.0,0.5,,morrima03
55,DeMar DeRozan,29,SAS,SG,7,7,251,23.2,.557,.008,.370,4.3,15.8,10.1,21.6,1.7,0.3,8.0,27.8,0.7,0.1,0.8,.151,3.0,0.8,3.8,0.4,,derozde01
56,Evan Turner,30,POR,PG,16,0,245,8.9,.409,.022,.326,5.6,25.6,15.6,19.4,0.6,1.0,19.8,11.7,0.0,0.1,0.1,.028,-3.1,0.6,-2.6,0.0,,turneev01
57,LaMarcus Aldridge,33,SAS,C,7,7,244,21.8,.517,.091,.273,8.4,21.1,14.8,13.1,1.1,2.3,4.9,27.2,0.6,0.1,0.7,.131,2.5,-0.2,2.3,0.3,,aldrila01
58,Alfonzo McKinnie,26,GSW,SF,22,1,235,7.4,.521,.542,.169,8.6,15.7,12.2,2.3,0.4,0.4,8.6,12.8,0.2,0.0,0.1,.030,-3.1,-1.8,-4.9,-0.2,,mckinal01
59,James Ennis III,28,PHI,SF,11,0,232,11.3,.574,.500,.297,7.9,11.5,9.8,7.5,0.8,1.2,12.1,15.1,0.3,0.2,0.5,.099,-0.7,0.5,-0.2,0.1,,ennisja01
60,Monte Morris,23,DEN,PG,14,0,224,9.9,.409,.151,.151,1.4,7.6,4.5,24.3,1.2,0.3,6.1,19.5,0.0,0.0,0.0,-0.004,-3.6,-1.1,-4.7,-0.1,,morrimo01
61,Mason Plumlee,28,DEN,C,14,0,218,16.2,.539,.021,.596,12.3,17.6,14.9,13.8,1.7,3.6,11.9,13.8,0.5,0.2,0.6,.143,-1.2,1.7,0.5,0.1,,plumlma01
62,Austin Rivers,26,HOU,SG,10,0,215,8.4,.572,.565,.097,1.1,9.7,5.5,7.2,1.2,0.4,11.0,15.0,0.2,0.1,0.3,.065,-2.5,0.4,-2.0,0.0,,riverau01
63,Bryn Forbes,25,SAS,SG,7,7,212,11.5,.625,.554,.161,0.5,12.1,6.3,4.8,0.2,0.4,4.8,13.8,0.4,-0.1,0.3,.075,-0.2,-0.6,-0.8,0.1,,forbebr01
64,Paul George,28,OKC,SF,5,5,204,18.5,.583,.465,.485,3.1,20.0,11.4,15.4,1.7,0.4,14.6,30.1,0.3,0.1,0.4,.102,2.6,0.6,3.2,0.3,,georgpa01
65,Danilo Gallinari,30,LAC,SF,6,6,201,13.7,.474,.387,.297,4.7,16.5,10.3,12.5,1.9,0.4,8.1,28.3,0.0,-0.1,-0.1,-0.034,0.6,-3.0,-2.4,0.0,,gallida01
66,Malcolm Brogdon,26,MIL,SG,7,2,198,14.4,.549,.474,.141,3.2,13.7,8.6,18.9,1.2,0.5,10.8,20.2,0.2,0.3,0.5,.119,1.4,0.9,2.4,0.2,,brogdma01
67,Russell Westbrook,30,OKC,PG,5,5,197,16.1,.466,.306,.234,3.8,21.2,12.4,46.0,1.2,1.3,15.8,31.5,0.0,0.1,0.1,.030,1.5,0.4,1.9,0.2,,westbru01
68,Patrick Beverley,30,LAC,PG,6,6,195,13.6,.584,.638,.170,4.3,24.3,13.7,19.7,1.4,2.6,16.5,12.9,0.3,-0.1,0.2,.051,0.9,1.4,2.3,0.2,,beverpa01
69,Quinn Cook,25,GSW,PG,17,0,193,8.1,.495,.486,.057,1.2,9.3,5.4,8.8,0.8,0.5,7.7,17.5,0.0,0.0,0.0,-0.003,-2.7,-2.3,-5.0,-0.1,,cookqu01
70,Mike Scott,30,PHI,PF,10,0,193,7.3,.585,.723,.043,2.4,16.0,9.5,3.6,0.8,0.0,12.8,12.1,0.1,0.1,0.2,.061,-2.1,-0.4,-2.5,0.0,,scottmi01
71,Donovan Mitchell,22,UTA,SG,5,5,193,6.9,.423,.384,.295,3.7,10.2,6.8,15.5,2.0,0.6,14.2,32.7,-0.6,0.1,-0.5,-0.123,-3.3,-1.3,-4.6,-0.1,,mitchdo01
72,Derrick White,24,SAS,PG,7,7,191,19.0,.613,.227,.347,0.6,11.2,5.9,18.1,1.4,2.1,14.8,24.7,0.3,0.0,0.4,.092,1.1,1.0,2.1,0.2,,whitede01
73,Andrew Bogut,34,GSW,C,19,6,179,17.2,.663,.000,.135,15.2,31.9,23.8,16.4,1.4,3.3,20.3,12.0,0.5,0.2,0.7,.181,-1.0,2.8,1.8,0.2,,bogutan01
74,Rudy Gay,32,SAS,PF,7,0,179,15.4,.503,.271,.243,7.9,22.1,15.0,10.1,0.9,2.2,11.4,22.7,0.1,0.1,0.2,.052,0.9,-0.5,0.3,0.1,,gayru01
75,Jakob Poeltl,23,SAS,C,7,7,177,18.1,.638,.028,.250,15.3,17.5,16.4,9.8,0.6,2.3,7.0,11.3,0.6,0.0,0.7,.180,0.9,0.0,0.9,0.1,,poeltja01
76,Lou Williams,32,LAC,SG,6,0,176,21.3,.533,.173,.394,3.6,7.4,5.4,45.5,1.3,0.5,12.9,33.1,0.4,-0.2,0.2,.059,4.0,-2.7,1.3,0.1,,willilo02
77,Jerami Grant,24,OKC,PF,5,5,176,13.1,.634,.500,.325,3.6,13.1,8.3,3.4,0.8,4.8,8.0,12.1,0.3,0.1,0.4,.103,0.6,1.9,2.5,0.2,,grantje01
78,Evan Fournier,26,ORL,SG,5,5,175,5.1,.427,.493,.116,1.7,8.7,5.0,10.7,2.0,0.0,14.2,21.4,-0.4,0.1,-0.3,-0.096,-4.4,-0.5,-4.8,-0.1,,fournev01
79,Landry Shamet,21,LAC,SG,6,6,174,6.4,.542,.816,.263,0.6,7.5,3.8,7.6,1.6,0.0,14.2,11.8,0.0,-0.2,-0.1,-0.037,-2.9,-1.2,-4.1,-0.1,,shamela01
80,Shai Gilgeous-Alexander,20,LAC,PG,6,6,173,16.6,.596,.300,.333,2.4,8.2,5.2,16.4,1.6,2.4,6.8,17.8,0.4,-0.1,0.3,.085,2.1,0.8,2.9,0.2,,gilgesh01
81,Meyers Leonard,26,POR,C,11,2,170,17.3,.616,.508,.138,3.7,21.3,12.5,11.8,0.9,0.5,5.5,18.7,0.5,0.1,0.6,.156,2.3,0.2,2.5,0.2,,leoname01
82,Ricky Rubio,28,UTA,PG,5,5,168,17.3,.515,.303,.303,1.8,8.4,5.0,46.2,3.5,0.7,16.7,22.9,0.2,0.2,0.3,.092,1.3,3.6,4.8,0.3,,rubiori01
83,Aaron Gordon,23,ORL,PF,5,5,164,15.3,.540,.323,.306,6.8,17.9,12.0,22.2,1.8,0.6,15.6,22.6,0.1,0.1,0.2,.048,1.7,1.8,3.5,0.2,,gordoaa01
84,Sterling Brown,23,MIL,SG,11,5,162,10.6,.525,.553,.289,2.6,15.5,9.3,16.2,1.8,1.7,15.7,13.5,0.1,0.3,0.4,.107,-2.3,2.5,0.2,0.1,,brownst02
85,Terry Rozier,24,BOS,PG,9,0,162,8.7,.439,.576,.271,2.6,21.1,12.3,16.8,1.2,1.2,13.2,20.7,-0.2,0.2,0.0,.010,-2.7,1.2,-1.5,0.0,,roziete01
86,Steven Adams,25,OKC,C,5,5,159,15.6,.648,.024,.190,8.1,16.6,12.3,7.2,1.5,2.6,16.5,14.6,0.2,0.1,0.3,.098,-0.1,1.9,1.8,0.2,,adamsst01
87,Montrezl Harrell,25,LAC,C,6,0,158,26.7,.739,.016,.413,8.0,15.8,11.6,15.3,0.9,2.1,9.7,21.7,0.8,-0.1,0.6,.193,5.2,0.5,5.7,0.3,,harremo01
88,Patty Mills,30,SAS,PG,7,0,152,10.3,.390,.512,.233,0.7,9.9,5.3,22.6,2.4,0.5,6.0,15.4,0.0,0.0,0.0,.008,-2.7,0.9,-1.7,0.0,,millspa02
89,Rudy Gobert,26,UTA,C,5,5,152,20.5,.665,.000,.719,15.3,20.1,17.6,7.7,1.0,9.8,17.6,14.4,0.4,0.2,0.6,.182,0.8,2.2,3.0,0.2,,goberru01
90,Joe Ingles,31,UTA,PF,5,5,151,9.5,.432,.784,.000,2.0,15.2,8.3,25.8,3.6,0.0,17.8,12.7,-0.1,0.2,0.1,.034,-2.9,3.4,0.5,0.1,,inglejo01
91,Dennis Schröder,25,OKC,PG,5,0,151,13.8,.548,.364,.327,1.4,10.2,5.7,18.1,1.3,0.0,8.7,19.5,0.2,0.0,0.3,.079,-0.2,0.6,0.4,0.1,,schrode01
92,Joe Harris,27,BRK,SG,5,5,149,5.1,.473,.488,.186,3.8,11.2,7.2,2.9,0.9,0.0,16.2,15.2,-0.1,-0.1,-0.2,-0.068,-4.8,-2.5,-7.3,-0.2,,harrijo01
93,D'Angelo Russell,22,BRK,PG,5,5,148,11.6,.446,.359,.126,1.3,12.1,6.3,22.1,2.2,0.5,11.4,33.8,-0.3,0.0,-0.3,-0.101,-1.1,-2.0,-3.1,0.0,,russeda01
94,Bojan Bogdanović,29,IND,SF,4,4,148,15.2,.511,.349,.270,2.0,16.3,8.5,14.1,2.7,0.0,7.8,23.9,0.0,0.2,0.2,.081,0.4,1.4,1.9,0.1,,bogdabo02
95,Nikola Vučević,28,ORL,C,5,5,147,10.1,.436,.224,.241,6.2,24.8,14.8,19.3,0.7,3.2,16.8,23.3,-0.3,0.1,-0.2,-0.054,-1.9,0.4,-1.5,0.0,,vucevni01
96,Terrence Ross,27,ORL,SG,5,0,146,11.2,.537,.648,.315,0.7,13.7,6.7,9.0,2.1,1.3,14.0,21.7,-0.1,0.1,0.0,.014,-0.2,1.1,0.9,0.1,,rosste01
97,Caris LeVert,24,BRK,SF,5,2,144,23.2,.612,.356,.397,4.0,13.2,8.2,18.9,1.6,1.0,10.4,27.1,0.4,0.0,0.4,.138,4.9,0.9,5.7,0.3,,leverca01
98,Danuel House Jr.,25,HOU,SF,7,0,141,4.0,.420,.838,.216,1.7,15.5,8.8,1.0,1.1,1.3,9.0,14.0,-0.2,0.1,-0.1,-0.023,-3.9,-1.5,-5.4,-0.1,,houseda01
99,JaMychal Green,28,LAC,PF,6,3,141,13.0,.696,.535,.233,4.5,21.9,12.6,5.3,1.3,0.0,18.8,17.2,0.2,-0.1,0.1,.031,-0.2,-0.5,-0.6,0.0,,greenja01
100,D.J. Augustin,31,ORL,PG,5,5,141,16.7,.666,.512,.390,0.7,5.8,3.1,25.5,0.7,0.7,12.7,17.3,0.4,0.0,0.4,.136,3.2,0.4,3.5,0.2,,augusdj01
101,Jonathan Isaac,21,ORL,PF,5,5,137,6.2,.379,.500,.200,7.4,18.0,12.3,2.5,0.7,3.4,10.3,15.7,-0.2,0.1,-0.1,-0.049,-3.6,-0.5,-4.1,-0.1,,isaacjo01
102,Royce O'Neale,25,UTA,SF,5,0,137,8.7,.567,.511,.089,1.5,16.7,8.8,10.3,0.7,1.7,17.6,17.7,0.0,0.1,0.0,.007,-2.7,1.6,-1.1,0.0,,onealro01
103,DeMarcus Cousins,28,GSW,C,8,5,133,11.0,.477,.226,.472,8.0,25.2,16.9,20.7,1.9,4.4,22.9,27.1,-0.2,0.1,-0.1,-0.027,-4.9,1.4,-3.5,-0.1,,couside01
104,Luke Kennard,22,DET,SG,4,2,133,14.0,.604,.319,.128,0.0,14.0,6.0,8.7,1.1,0.7,5.7,16.7,0.2,-0.1,0.1,.031,1.3,-0.7,0.6,0.1,,kennalu01
105,Marco Belinelli,32,SAS,SG,7,0,131,8.8,.504,.553,.158,0.0,10.6,5.3,8.5,0.0,1.2,4.7,15.1,0.1,0.0,0.1,.018,-1.4,-1.4,-2.8,0.0,,belinma01
106,Spencer Dinwiddie,25,BRK,PG,5,0,131,12.4,.536,.387,.226,2.9,7.7,5.1,10.3,0.7,0.0,10.5,23.7,0.1,-0.1,0.0,-0.005,-0.4,-2.7,-3.2,0.0,,dinwisp01
107,Wayne Ellington,31,DET,SG,4,4,131,5.7,.432,.629,.057,2.0,10.7,5.8,5.5,1.1,0.0,5.3,12.2,-0.1,-0.1,-0.2,-0.073,-3.5,-2.2,-5.7,-0.1,,ellinwa01
108,Jae Crowder,28,UTA,SF,5,3,130,14.0,.524,.652,.413,3.1,21.0,11.7,5.2,1.9,0.0,1.8,18.2,0.2,0.1,0.3,.107,1.1,2.0,3.1,0.2,,crowdja01
109,Thaddeus Young,30,IND,PF,4,4,130,16.4,.466,.190,.167,6.9,17.6,11.7,20.6,4.3,2.2,10.0,17.8,0.0,0.3,0.3,.111,0.1,4.2,4.3,0.2,,youngth01
110,Terrance Ferguson,20,OKC,SG,5,5,128,2.5,.500,.720,.000,1.7,8.6,5.1,6.5,0.8,0.0,16.7,10.0,-0.1,0.0,-0.1,-0.019,-5.3,0.5,-4.8,-0.1,,fergute01
111,Andre Drummond,25,DET,C,4,4,127,15.5,.451,.019,.389,13.9,29.3,20.6,12.0,2.3,3.6,14.8,24.6,-0.1,0.0,-0.1,-0.047,-1.9,-1.0,-2.9,0.0,,drumman01
112,Myles Turner,22,IND,C,4,4,126,9.7,.479,.400,.371,3.2,20.1,10.8,8.1,0.0,5.3,6.9,16.1,0.0,0.2,0.1,.057,-3.2,0.9,-2.2,0.0,,turnemy01
113,Jonas Jerebko,31,GSW,PF,16,0,121,10.6,.381,.452,.143,14.7,17.6,16.2,13.2,0.4,1.6,4.3,16.8,0.1,0.0,0.1,.041,-0.7,-2.4,-3.1,0.0,,jerebjo01
114,DeMarre Carroll,32,BRK,PF,5,3,119,5.3,.397,.632,.211,4.8,13.1,8.6,2.3,1.6,0.0,6.7,15.2,-0.1,0.0,-0.1,-0.056,-3.4,-2.0,-5.4,-0.1,,carrode01
